Date,Hour,Arr Pax
2022-01-01,0.0,71
2022-01-01,1.0,502
2022-01-01,6.0,438
2022-01-01,7.0,1996
2022-01-01,8.0,706
2022-01-01,9.0,952
2022-01-01,10.0,877
2022-01-01,11.0,979
2022-01-01,12.0,815
2022-01-01,13.0,1124
2022-01-01,14.0,1146
2022-01-01,15.0,819
2022-01-01,16.0,1399
2022-01-01,17.0,920
2022-01-01,18.0,789
2022-01-01,19.0,872
2022-01-01,20.0,1366
2022-01-01,21.0,497
2022-01-01,22.0,1053
2022-01-01,23.0,601
2022-01-02,0.0,493
2022-01-02,1.0,572
2022-01-02,2.0,98
2022-01-02,6.0,1066
2022-01-02,7.0,1665
2022-01-02,8.0,879
2022-01-02,9.0,276
2022-01-02,10.0,1112
2022-01-02,11.0,1397
2022-01-02,12.0,1302
2022-01-02,13.0,944
2022-01-02,14.0,471
2022-01-02,15.0,1008
2022-01-02,16.0,1679
2022-01-02,17.0,816
2022-01-02,18.0,623
2022-01-02,19.0,1488
2022-01-02,20.0,1049
2022-01-02,21.0,935
2022-01-02,22.0,958
2022-01-02,23.0,538
2022-01-03,0.0,509
2022-01-03,1.0,631
2022-01-03,2.0,114
2022-01-03,6.0,544
2022-01-03,7.0,1604
2022-01-03,8.0,785
2022-01-03,9.0,976
2022-01-03,10.0,936
2022-01-03,11.0,1760
2022-01-03,12.0,1082
2022-01-03,13.0,785
2022-01-03,14.0,880
2022-01-03,15.0,1281
2022-01-03,16.0,1529
2022-01-03,17.0,920
2022-01-03,18.0,837
2022-01-03,19.0,1423
2022-01-03,20.0,930
2022-01-03,21.0,898
2022-01-03,22.0,734
2022-01-03,23.0,559
2022-01-04,0.0,526
2022-01-04,1.0,549
2022-01-04,2.0,266
2022-01-04,3.0,163
2022-01-04,6.0,1126
2022-01-04,7.0,1062
2022-01-04,8.0,775
2022-01-04,9.0,766
2022-01-04,10.0,844
2022-01-04,11.0,1274
2022-01-04,12.0,1506
2022-01-04,13.0,749
2022-01-04,14.0,1086
2022-01-04,15.0,1426
2022-01-04,16.0,596
2022-01-04,17.0,712
2022-01-04,18.0,1309
